Income,Tax,Effective Rate,Marginal Rate
0,0,0,0
100,0,0,0
200,0,0,0
300,0,0,0
400,0,0,0
500,0,0,0
600,0,0,0
700,0,0,0
800,0,0,0
900,0,0,0
1000,0,0,0
1100,0,0,0
1200,0,0,0
1300,0,0,0
1400,0,0,0
1500,0,0,0
1600,0,0,0
1700,0,0,0
1800,0,0,0
1900,0,0,0
2000,0,0,0
2100,0,0,0
2200,0,0,0
2300,0,0,0
2400,0,0,0
2500,0,0,0
2600,0,0,0
2700,0,0,0
2800,0,0,0
2900,0,0,0
3000,0,0,0
3100,0,0,0
3200,0,0,0
3300,0,0,0
3400,0,0,0
3500,0,0,0
3600,0,0,0
3700,0,0,0
3800,0,0,0
3900,0,0,0
4000,0,0,0
4100,0,0,0
4200,0,0,0
4300,0,0,0
4400,0,0,0
4500,0,0,0
4600,0,0,0
4700,0,0,0
4800,0,0,0
4900,0,0,0
5000,0,0,0
5100,0,0,0
5200,0,0,0
5300,0,0,0
5400,0,0,0
5500,0,0,0
5600,0,0,0
5700,0,0,0
5800,0,0,0
5900,0,0,0
6000,0,0,0
6100,0,0,0
6200,0,0,0
6300,0,0,0
6400,0,0,0
6500,0,0,0
6600,0,0,0
6700,0,0,0
6800,0,0,0
6900,0,0,0
7000,0,0,0
7100,0,0,0
7200,0,0,0
7300,0,0,0
7400,0,0,0
7500,0,0,0
7600,0,0,0
7700,0,0,0
7800,0,0,0
7900,0,0,0
8000,0,0,0
8100,0,0,0
8200,0,0,0
8300,0,0,0
8400,0,0,0
8500,0,0,0
8600,0,0,0
8700,0,0,0
8800,0,0,0
8900,0,0,0
9000,0,0,0
9100,0,0,0
9200,7.1279907,0.0007747816,0.25800002
9300,17.927979,0.0019277396,0.25800002
9400,28.727966,0.0030561667,0.25800002
9500,39.527954,0.0041608373,0.25800002
9600,50.328003,0.0052425005,0.25800002
9700,61.12793,0.006301848,0.25800002
9800,71.92798,0.0073395898,0.25800002
9900,82.72803,0.008356366,0.25800002
10000,93.527954,0.009352796,0.25800002
10100,104.328,0.010329505,0.25800002
10200,115.12793,0.011287052,0.25800002
10300,125.92798,0.012226017,0.25800002
10400,136.72803,0.013146926,0.25800002
10500,147.52795,0.014050282,0.25800002
10600,158.328,0.014936604,0.25800002
10700,169.12793,0.015806349,0.25800002
10800,179.92798,0.016659997,0.25800002
10900,190.72803,0.017497985,0.25800002
11000,201.52795,0.018320723,0.25800002
11100,212.328,0.019128649,0.25800002
11200,223.12793,0.019922137,0.25800002
11300,233.92798,0.02070159,0.25800002
11400,244.72803,0.02146737,0.25800002
11500,259.42798,0.022558955,0.25800002
11600,285.22803,0.024588622,0.25800002
11700,311.02795,0.026583586,0.25800002
11800,336.828,0.028544746,0.25800002
11900,362.62805,0.030472945,0.25800002
12000,388.42798,0.032369,0.25800002
12100,414.22803,0.034233723,0.25800002
12200,440.02795,0.036067866,0.25800002
12300,465.828,0.037872195,0.25800002
12400,491.62805,0.039647423,0.25800002
12500,517.428,0.041394237,0.25800002
12600,543.228,0.043113336,0.25800002
12700,569.02795,0.04480535,0.25800002
12800,594.828,0.046470936,0.25800002
12900,620.62805,0.0481107,0.25800002
13000,646.428,0.04972523,0.25800002
13100,672.228,0.051315118,0.25800002
13200,698.0281,0.052880913,0.25800002
13300,723.828,0.054423157,0.25800002
13400,749.62805,0.05594239,0.25800002
13500,775.428,0.05743911,0.25800002
13600,801.228,0.058913827,0.25800002
13700,827.02795,0.060367003,0.25800002
13800,852.8279,0.06179912,0.25800002
13900,878.6279,0.063210644,0.25800002
14000,904.42786,0.06460199,0.25800002
14100,930.2279,0.06597361,0.25800002
14200,956.02795,0.06732591,0.25800002
14300,981.8279,0.06865929,0.25800002
14400,1007.6279,0.06997416,0.25800002
14500,1033.4279,0.07127088,0.25800002
14600,1059.2279,0.07254986,0.25800002
14700,1085.028,0.07381143,0.25800002
14800,1110.8279,0.075055934,0.25800002
14900,1136.6279,0.07628375,0.25800002
15000,1162.4279,0.07749519,0.25800002
15100,1188.2279,0.07869059,0.25800002
15200,1214.028,0.07987026,0.25800002
15300,1239.8279,0.081034504,0.25800002
15400,1265.6279,0.08218363,0.25800002
15500,1291.4279,0.08331793,0.25800002
15600,1317.2279,0.08443768,0.25800002
15700,1343.028,0.085543185,0.25800002
15800,1368.8279,0.08663467,0.25800002
15900,1394.6279,0.08771245,0.25800002
16000,1420.4279,0.08877674,0.25800002
16100,1446.2279,0.08982782,0.25800002
16200,1472.028,0.090865925,0.25800002
16300,1497.8279,0.09189128,0.25800002
16400,1523.6279,0.09290414,0.25800002
16500,1549.4279,0.09390472,0.25800002
16600,1575.2279,0.09489325,0.25800002
16700,1601.028,0.095869936,0.25800002
16800,1626.8279,0.096834995,0.25800002
16900,1652.6279,0.09778863,0.25800002
17000,1678.4279,0.09873105,0.25800002
17100,1704.2279,0.09966245,0.25800002
17200,1730.028,0.10058302,0.25800002
17300,1755.8279,0.10149294,0.25800002
17400,1781.6279,0.10239241,0.25800002
17500,1807.4279,0.103281595,0.25800002
17600,1833.2279,0.104160674,0.25800002
17700,1859.028,0.10502983,0.25800002
17800,1884.8279,0.10588921,0.25800002
17900,1910.6279,0.10673899,0.25800002
18000,1936.4279,0.10757933,0.25800002
18100,1962.2279,0.10841038,0.25800002
18200,1988.028,0.10923231,0.25800002
18300,2013.8279,0.11004524,0.25800002
18400,2039.6279,0.11084934,0.25800002
18500,2065.4277,0.111644745,0.25800002
18600,2091.228,0.112431616,0.25800002
18700,2117.0278,0.113210045,0.25800002
18800,2142.828,0.113980204,0.25800002
18900,2168.628,0.11474222,0.25800002
19000,2194.4277,0.115496196,0.25800002
19100,2220.228,0.116242304,0.25800002
19200,2246.0278,0.11698062,0.25800002
19300,2271.8281,0.1177113,0.25800002
19400,2297.628,0.11843443,0.25800002
19500,2323.4277,0.11915014,0.25800002
19600,2349.228,0.11985857,0.25800002
19700,2375.0278,0.12055979,0.25800002
19800,2400.8281,0.121253945,0.25800002
19900,2426.628,0.121941105,0.25800002
20000,2452.4277,0.12262139,0.25800002
20100,2478.228,0.12329493,0.25800002
20200,2504.0278,0.12396178,0.25800002
20300,2529.8281,0.12462208,0.25800002
20400,2555.628,0.12527588,0.25800002
20500,2581.4282,0.12592332,0.25800002
20600,2607.228,0.12656447,0.25800002
20700,2633.0283,0.12719944,0.25800002
20800,2658.8281,0.12782827,0.25800002
20900,2684.628,0.1284511,0.25800002
21000,2710.4282,0.12906802,0.25800002
21100,2736.228,0.12967905,0.25800002
21200,2762.0283,0.13028435,0.25800002
21300,2787.8281,0.13088395,0.25800002
21400,2813.628,0.13147794,0.25800002
21500,2839.4282,0.13206643,0.25800002
21600,2865.228,0.13264945,0.25800002
21700,2891.0283,0.13322711,0.25800002
21800,2916.8281,0.13379945,0.25800002
21900,2942.628,0.13436657,0.25800002
22000,2968.4282,0.13492855,0.25800002
22100,2994.228,0.13548543,0.25800002
22200,3020.0283,0.1360373,0.25800002
22300,3045.8281,0.13658422,0.25800002
22400,3071.628,0.13712625,0.25800002
22500,3097.4282,0.13766348,0.25800002
22600,3123.228,0.13819593,0.25800002
22700,3149.0283,0.13872372,0.25800002
22800,3174.8281,0.13924685,0.25800002
22900,3200.628,0.13976541,0.25800002
23000,3226.4282,0.14027949,0.25800002
23100,3252.228,0.14078909,0.25800002
23200,3278.0283,0.14129433,0.25800002
